id,hsk_level,chinese,pinyin,english
1422,3,电视台,diàn shì tái,TV station
1423,3,电台,diàntái,radio station
1424,3,电子邮件,diànzǐyóujiàn,E-mail
1425,3,调,diào,transfer; shift; move
1426,3,调查,diàochá,investigation
1427,3,订,dìng,conclude; draw up; order; revise
1428,3,定期,dìngqī,regular
1429,3,东部,dōng bù,east
1430,3,动力,dònglì,"power, motivation"
1431,3,动人,dòng rén,moving; touching
1432,3,读者,dú zhě,reader
1433,3,短处,duǎn chù,shortcoming; demerit
1434,3,短裤,duǎn kù,shorts
1435,3,短期,duǎn qī,short term
1436,3,断,duàn,break
1437,3,队员,duì yuán,team member
1438,3,对待,duìdài,treat
1439,3,对方,duìfāng,Other party
1440,3,对手,duìshǒu,Opponent
1441,3,对象,duìxiàng,object
1442,3,顿,dùn,Meal
1443,3,发表,fābiǎo,Publish
1444,3,发出,fā chū,issue; send out; give off; emit
1445,3,发达,fādá,developed
1446,3,发动,fādòng,Launch
1447,3,发明,fāmíng,Invention
1448,3,发生,fāshēng,Happen
1449,3,发送,fā sòng,send; transmit; dispatch; ship; forward
1450,3,发言,fāyán,speak
1451,3,发展,fāzhǎn,Development
1452,3,反对,fǎnduì,Opposition
1453,3,反复,fǎnfù,Repeatedly
1454,3,反应,fǎnyìng,reaction
1455,3,反正,fǎnzhèng,anyway
1456,3,范围,fànwéi,Range
1457,3,方式,fāngshì,mode
1458,3,防,fáng,guard against; defend
1459,3,防止,fángzhǐ,Prevent
1460,3,房东,fángdōng,landlord
1461,3,房屋,fáng wū,houses; buildings; tenement
1462,3,房租,fáng zū,rent
1463,3,访问,fǎngwèn,Visit
1464,3,放到,fàng dào,put to; put into
1465,3,飞行,fēi xíng,flight; flying
1466,3,费,fèi,fee; cost
1467,3,费用,fèi yòng,cost; expenses; outlay
1468,3,分别,fēnbié,part
1469,3,分配,fēnpèi,distribution
1470,3,分组,fēn zǔ,grouping
1471,3,丰富,fēngfù,rich
1472,3,风险,fēngxiǎn,risk
1473,3,否定,fǒudìng,negative
1474,3,否认,fǒurèn,deny
1475,3,服装,fúzhuāng,costume; dress
1476,3,福,fú,blessing; good fortune
1477,3,父母,fù mǔ,father and mother; parents
1478,3,父亲,fùqīn,father
1479,3,付,fù,pay; commit; hand over
1480,3,负责,fùzé,Be responsible for
1481,3,复印,fùyìn,To copy
1482,3,复杂,fùzá,complex
1483,3,富,fù,rich
1484,3,改进,gǎijìn,Improvement
1485,3,改造,gǎi zào,transform; reform
1486,3,概念,gàiniàn,concept
1487,3,赶,gǎn,catch up with
1488,3,赶到,gǎn dào,arrived; get to
1489,3,赶紧,gǎnjǐn,Quickly
1490,3,赶快,gǎnkuài,Come on
1491,3,敢,gǎn,dare
1492,3,感冒,gǎnmào,Cold
1493,3,感情,gǎnqíng,feeling
1494,3,感受,gǎnshòu,feel
1495,3,干吗,gàn má,Why
1496,3,高速,gāo sù,high speed
1497,3,高速公路,gāosùgōnglù,Expressway
1498,3,告别,gàobié,farewell
1499,3,歌迷,gē mí,fan
1500,3,歌声,gē shēng,singing
1501,3,歌手,gē shǒu,singer; vocalist
1502,3,个人,gèrén,personal
1503,3,个性,gèxìng,personality
1504,3,各,gè,various
1505,3,各地,gè dì,various regions; everywhere
1506,3,各位,gè wèi,everybody
1507,3,各种,gè zhǒng,all kinds; various; every kind
1508,3,各自,gèzì,Each
1509,3,根本,gēnběn,at all
1510,3,更加,gèng jiā,more; even more
1511,3,工厂,gōngchǎng,factory
1512,3,工程师,gōngchéngshī,Engineer
1513,3,工夫,gōng fu,time
1514,3,工具,gōngjù,tool
1515,3,工业,gōngyè,Industry
1516,3,工资,gōngzī,wages
1517,3,公布,gōngbù,Publish
1518,3,公共,gōng gòng,public; common; community
1519,3,公开,gōngkāi,open
1520,3,公民,gōngmín,citizen
1521,3,公务员,gōng wù yuán,civil servant; public functionary
1522,3,功夫,gōngfu,Kungfu
1523,3,功课,gōng kè,homework; schoolwork; classwork
1524,3,功能,gōngnéng,function
1525,3,共同,gòngtóng,common
1526,3,共有,gòng yǒu,have altogether; share; owned by all
1527,3,姑娘,gūniang,girl
1528,3,古,gǔ,ancient; old
1529,3,古代,gǔdài,Ancient
1530,3,故乡,gùxiāng,Hometown
1531,3,挂,guà,hang
1532,3,关系,guānxì,relationship
1533,3,关注,guān zhù,attention; follow with interest; pay close attention; show solicitude for
1534,3,观察,guānchá,observation
1535,3,观看,guān kàn,watch; view
1536,3,观念,guānniàn,concept
1537,3,观众,guānzhòng,Audience
1538,3,管,guǎn,control; be in charge of; manage; run
1539,3,管理,guǎnlǐ,Administration
1540,3,光,guāng,light
1541,3,光明,guāngmíng,light
1542,3,广播,guǎngbō,Radio broadcast
1543,3,广大,guǎngdà,Vast
1544,3,规定,guīdìng,Regulations
1545,3,规范,guīfàn,criterion; rule
1546,3,国内,guó nèi,domestic; internal
1547,3,国庆,guó qìng,National Day
1548,3,果然,guǒrán,Sure enough
1549,3,果汁,guǒzhī,fruit juice
1550,3,过程,guòchéng,process
1551,3,过去（名）,guò qù,past; old; foretime
1552,3,哈哈,hā hā,ha-ha
1553,3,海关,hǎiguān,Customs
1554,3,害怕,hàipà,Fear
1555,3,行,háng,row，line
1556,3,好好,hǎo hǎo,"really good, really nice"
1557,3,好奇,hàoqí,Be curious
1558,3,合,hé,close; shut; be equal to; add up to; join
1559,3,合法,héfǎ,legitimate
1560,3,合格,hégé,qualified
1561,3,合理,hélǐ,reasonable
1562,3,合作,hézuò,cooperation
1563,3,和平,hépíng,peace
1564,3,红茶,hóng chá,black tea
1565,3,红酒,hóng jiǔ,red wine
1566,3,后果,hòuguǒ,Consequence
1567,3,后面,hòumiàn,behind
1568,3,后年,hòu nián,the year after next
1569,3,互联网,hùliánwǎng,Internet
1570,3,互相,hùxiāng,each other
1571,3,划船,huá chuán,row; paddle a boat; go boating
1572,3,华人,huá rén,Chinese; ethnic Chinese
1573,3,化（现代化）,huà （xiàn dài huà）,suffix (modernize; modernization)
1574,3,话剧,huà jù,drama
1575,3,话题,huàtí,Topic of conversation
1576,3,欢乐,huānlè,Happy
1577,3,环,huán,ring; loop; link; annulus
1578,3,环保,huán bǎo,environmental protection
1579,3,环境,huánjìng,Environment
1580,3,会议,huìyì,Meeting
1581,3,会员,huì yuán,membership
1582,3,活,huó,live; save; work; living; alive
1583,3,火（名）,huǒ,fire; anger; temper
1584,3,机器,jīqì,machine
1585,3,积极,jījí,positive
1586,3,基本,jīběn,basic
1587,3,基本上,jī běn shàng,basically
1588,3,基础,jīchǔ,Basics
1589,3,及时,jíshí,timely
1590,3,…极了,… jí le,extremely; exceedingly
1591,3,集体,jítǐ,collective
1592,3,集中,jízhōng,focus
1593,3,计算,jìsuàn,Calculation
1594,3,记录,jìlù,Record
1595,3,记者,jìzhě,Reporter
1596,3,纪录,jìlù,Record
1597,3,纪念,jìniàn,Anniversary
1598,3,技术,jìshù,technology
1599,3,继续,jìxù,Continue
1600,3,加工,jiāgōng,machining
1601,3,加快,jiā kuài,speed up; accelerate
1602,3,加强,jiā qiáng,strengthen; reinforce
1603,3,家具,jiājù,furniture
1604,3,家属,jiāshǔ,family members
1605,3,家乡,jiāxiāng,Hometown
1606,3,价格,jiàgé,Price
1607,3,价钱,jià qián,price
1608,3,价值,jiàzhí,value
1609,3,架,jià,frame; rack; shelf; stand
1610,3,坚持,jiānchí,Insist
1611,3,坚决,jiānjué,firm
1612,3,坚强,jiānqiáng,Firm
1613,3,简单,jiǎndān,simple
1614,3,简直,jiǎnzhí,simply
1615,3,建,jiàn,build; construct; erect; establish; set up; found
1616,3,建成,jiàn chéng,built up
1617,3,建立,jiànlì,establish
1618,3,建设,jiànshè,build
1619,3,建议,jiànyì,proposal
1620,3,将近,jiāngjìn,nearly
1621,3,将来,jiānglái,future
1622,3,交费,jiāo fèi,pay
1623,3,交警,jiāo jǐng,traffic police
1624,3,交流,jiāoliú,Communication
1625,3,交往,jiāowǎng,affiliate with
1626,3,交易,jiāoyì,transaction
1627,3,叫（介）,jiào,(preposition)
1628,3,较,jiào,compare; comparatively; relatively; fairly; quite; rather
1629,3,教材,jiàocái,teaching material
1630,3,教练,jiàoliàn,coach
1631,3,结实,jiēshi,strong
1632,3,接待,jiēdài,Reception
1633,3,接近,jiējìn,near
1634,3,节约,jiéyuē,save
1635,3,结合,jiéhé,Combination
1636,3,结婚,jiéhūn,marry
1637,3,结束,jiéshù,End
1638,3,解决,jiějué,Solve
1639,3,解开,jiě kāi,undo; untie; unfasten; unbutton
1640,3,金,jīn,gold
1641,3,金牌,jīn pái,gold medal
1642,3,仅,jǐn,only; merely; barely
1643,3,仅仅,jǐn jǐn,only; merely; barely
1644,3,尽量,jǐnliàng,as far as possible
1645,3,紧,jǐn,tight; close; urgent; strict
1646,3,紧急,jǐnjí,urgent
1647,3,紧张,jǐnzhāng,Nervous
1648,3,进步,jìnbù,progress
1649,3,进一步,jìn yí bù,go a step further; further
1650,3,进展,jìnzhǎn,evolve; get along
1651,3,近期,jìn qī,recent
1652,3,京剧,jīngjù,Beijing opera
1653,3,经济,jīngjì,Economics
1654,3,经历,jīnglì,experience
1655,3,经验,jīngyàn,experience
1656,3,经营,jīngyíng,Management
1657,3,精彩,jīngcǎi,Marvellous
1658,3,精神,jīngshén,"spirit, mind"
1659,3,精神,jīngshen,"lively, vigour"
1660,3,景色,jǐngsè,scenery
1661,3,警察,jǐngchá,Police
1662,3,静,jìng,silent; quiet; calm
1663,3,久,jiǔ,long
1664,3,旧,jiù,used
1665,3,救,jiù,save
1666,3,就是,jiù shì,precisely; exactly; just like
1667,3,就业,jiùyè,take up an occupation
1668,3,举办,jǔbàn,hold
1669,3,具体,jùtǐ,specific
1670,3,具有,jù yǒu,possess; have; be provided with
1671,3,剧场,jù chǎng,theater
1672,3,据说,jùshuō,allegedly
1673,3,决定,juédìng,Decision
1674,3,决赛,juésài,Finals
1675,3,决心,juéxīn,Determination
1676,3,绝对,juéduì,Absolutely
1677,3,咖啡,kāfēi,Coffee
1678,3,开发,kāifā,Development
1679,3,开放,kāifàng,To open up
1680,3,开始,kāishǐ,start
1681,3,开业,kāi yè,start business; open a private practice
1682,3,开展,kāizhǎn,Develop
1683,3,看起来,kàn qǐ lái,look like
1684,3,看上去,kàn shàng qù,seem
1685,3,考验,kǎoyàn,test
1686,3,科技,kē jì,science and technology
1687,3,可靠,kěkào,reliable
1688,3,可乐,kě lè,coke; cola
1689,3,克服,kèfú,Overcome
1690,3,客观,kèguān,objective
1691,3,课程,kèchéng,curriculum
1692,3,空,kōng,empty
1693,3,空调,kōngtiáo,Air conditioner
1694,3,恐怕,kǒngpà,I’m afraid
1695,3,空儿,kòngr,free time
1696,3,裤子,kùzi,trousers
1697,3,快速,kuài sù,fast; high-speed
1698,3,困,kùn,sleepy
1699,3,困难,kùnnán,difficulty
1700,3,浪费,làngfèi,Waste
1701,3,老百姓,lǎobǎixìng,Ordinary people
1702,3,老板,lǎobǎn,Boss
1703,3,老太太,lǎo tài tai,old lady
1704,3,老头儿,lǎo tóur,old man
1705,3,乐,lè,happy; laugh; cheerful
1706,3,乐观,lèguān,optimistic
1707,3,类,lèi,class; category; kind; type
1708,3,类似,lèisì,Similar
1709,3,离婚,líhūn,divorce
1710,3,里面,lǐ miàn,inside; interior
1711,3,理发,lǐfà,Haircut
1712,3,理解,lǐjiě,Understand
1713,3,理论,lǐlùn,theory
1714,3,理由,lǐyóu,Reason
1715,3,力,lì,power; force
1716,3,力量,lìliàng,Power
1717,3,立刻,lìkè,immediately
1718,3,利用,lìyòng,utilize
1719,3,连,lián,even
1720,3,连忙,liánmáng,Hurriedly
1721,3,连续,liánxù,serial
1722,3,连续剧,lián xù jù,series; soap opera
1723,3,联合,liánhé,union
1724,3,联合国,lián hé guó,United Nations
1725,3,联系,liánxì,contact
1726,3,凉水,liáng shuǐ,cold water; unboiled water
1727,3,了,le,past tense marker
1728,3,领,lǐng,lead; receive; get; understand
1729,3,领导,lǐngdǎo,Leader
1730,3,领先,lǐngxiān,keep ahead
1731,3,另外,lìngwài,in addition
1732,3,另一方面,lìng yì fāng miàn,on the other hand
1733,3,留学,liúxué,Overseas Study
1734,3,龙,lóng,dragon
1735,3,录,lù,record; write down; copy
1736,3,录音,lùyīn,Sound recording
1737,3,路线,lù xiàn,path; route; way; line
1738,3,旅馆,lǚ guǎn,hotel
1739,3,旅行社,lǚ xíng shè,travel agency
1740,3,绿茶,lǜ chá,green tea
1741,3,乱,luàn,chaos
1742,3,落后,luòhòu,backward
1743,3,麻烦,máfan,trouble
1744,3,马,mǎ,Horse
1745,3,满足,mǎnzú,satisfy
1746,3,慢慢,màn màn,slowly
1747,3,毛（名）,máo,a fractional unit of money in China; hair; fur
1748,3,毛病,máobìng,Trouble
1749,3,没用,méi yòng,useless
1750,3,媒体,méitǐ,media
1751,3,每,měi,each
1752,3,美,měi,beautiful; pretty
1753,3,美好,měi hǎo,fine; happy; glorious
1754,3,美丽,měilì,beautiful
1755,3,美食,měi shí,delicious food ; gourmet
1756,3,美术,měishù,Fine Arts
1757,3,美元,měi yuán,U.S. dollar
1758,3,迷,mí,fan; confused; be crazy about
1759,3,米（名）,mǐ,meter; rice
1760,3,面对,miànduì,Face
1761,3,面积,miànjī,The measure of area
1762,3,民间,mínjiān,nongovernmental
1763,3,民族,mínzú,Nation
1764,3,明确,míngquè,To make clear
1765,3,明显,míngxiǎn,obvious
1766,3,命运,mìngyùn,fate
1767,3,某,mǒu,some
1768,3,母亲,mǔqīn,mother
1769,3,木头,mùtou,wood
1770,3,目标,mùbiāo,target
1771,3,目前,mùqián,at present
1772,3,奶茶,nǎi chá,milk tea
1773,3,男子,nán zǐ,man; male
1774,3,南部,nán bù,south
1775,3,难道,nándào,could it be said that …
1776,3,难度,nán dù,difficulty
1777,3,内,nèi,within
1778,3,内容,nèiróng,content
1779,3,内心,nèi xīn,heart; inner centre
1780,3,能不能,néng bù néng,can or not
1781,3,能力,nénglì,ability
1782,3,年初,nián chū,beginning of the year
1783,3,年代,niándài,years
1784,3,年底,nián dǐ,end of the year
1785,3,年纪,niánjì,Age
1786,3,念,niàn,Read
1787,3,牛（名）,niú,cattle; ox; cow
1788,3,农村,nóngcūn,countryside
1789,3,农民,nóngmín,farmer
1790,3,农业,nóngyè,Agriculture
1791,3,女子,nǚ zǐ,woman; female
1792,3,暖和,nuǎnhuo,warm
1793,3,怕（副）,pà,perhaps; afraid
1794,3,拍,pāi,beat
1795,3,排（动）,pái,arrange; put in order; exclude; rehearse
1796,3,排名,pái míng,rank
1797,3,牌子,pái zi,brand; trademark; plate; sign
1798,3,派,pài,send
1799,3,判断,pànduàn,judge
1800,3,胖,pàng,fat
1801,3,跑步,pǎobù,Run
1802,3,配,pèi,match; mix; join; fit
1803,3,配合,pèihé,Coordination
1804,3,批评,pīpíng,criticism
1805,3,批准,pīzhǔn,Approval
1806,3,皮,pí,skin; leather; fur; cover; sheet
1807,3,皮包,pí bāo,purse; briefcase; portfolio
1808,3,啤酒,píjiǔ,Beer
1809,3,票价,piào jià,ticket price; fare
1810,3,评价,píngjià,evaluation
1811,3,苹果,píngguǒ,Apple
1812,3,破,pò,broken
1813,3,破坏,pòhuài,Destruction
1814,3,普遍,pǔbiàn,universal
1815,3,普及,pǔjí,Universal
1816,3,期,qī,period; time; term; expect
1817,3,齐,qí,together; uniform; neat; be level with
1818,3,其次,qícì,Secondly
1819,3,其实,qíshí,actually
1820,3,奇怪,qíguài,strange
1821,3,气候,qìhòu,climate
1822,3,千万,qiānwàn,Must
1823,3,前后,qián hòu,front and back; from start to finish; around
1824,3,前进,qián jìn,advance; go forward; march
1825,3,前面,qiánmiàn,Front
1826,3,前往,qián wǎng,go to; leave for; proceed
1827,3,强,qiáng,strong; powerful; better
1828,3,强大,qiáng dà,powerful; formidable; strong
1829,3,强调,qiángdiào,Emphasize
1830,3,强烈,qiángliè,strong
1831,3,桥,qiáo,Bridge
1832,3,巧,qiǎo,opportunely; skilful; deceitful
1833,3,亲,qīn,dear; close; intimate; relative
1834,3,亲切,qīnqiè,kind
1835,3,亲人,qīn rén,relative
1836,3,亲自,qīnzì,personally
1837,3,情感,qíng gǎn,feeling; emotion
1838,3,情况,qíngkuàng,Situation
1839,3,请教,qǐngjiào,Consult
1840,3,庆祝,qìngzhù,Celebrate
1841,3,球迷,qiúmí,fans (ball game)
1842,3,区,qū,area; district; region
1843,3,区别,qūbié,Difference
1844,3,取消,qǔxiāo,cancel
1845,3,去世,qùshì,Death
1846,3,全场,quán chǎng,the whole audience
1847,3,全面,quánmiàn,comprehensive
1848,3,全球,quán qiú,global; the whole world
1849,3,缺,quē,be short of; lack
1850,3,缺点,quēdiǎn,shortcoming
1851,3,缺少,quēshǎo,Lack
1852,3,确保,quèbǎo,ensure
1853,3,确定,quèdìng,Determine
1854,3,确实,quèshí,Exactly
1855,3,裙子,qúnzi,skirt
1856,3,群,qún,group
1857,3,热爱,rè’ài,Ardently love
1858,3,热烈,rèliè,warm
1859,3,人才,réncái,talented person
1860,3,人工,réngōng,artificial
1861,3,人类,rénlèi,Human beings
1862,3,人民,rén mín,people
1863,3,人民币,rénmínbì,RMB
1864,3,人群,rén qún,crowd; throng
1865,3,人生,rénshēng,Life
1866,3,人员,rényuán,personnel
1867,3,认出,rèn chū,recognize; identify; make out
1868,3,认得,rèn dé,know; recognize
1869,3,认可,rènkě,certificate; ratify
1870,3,任（动）,rèn,appoint; assign
1871,3,任（连）,rèn,"no matter (how, what, etc.)"
1872,3,任何,rènhé,"whatever, any"
1873,3,任务,rènwu,task
1874,3,仍,réng,still; remain; yet
1875,3,仍然,réngrán,still
1876,3,日常,rìcháng,daily
1877,3,容易,róngyì,easily
1878,3,如何,rúhé,How
1879,3,散步,sànbù,Take a walk
1880,3,沙发,shāfā,Sofa
1881,3,沙子,shā zi,sand; grit
1882,3,伤,shāng,hurt; be harmful; be distressed; get sick of
1883,3,伤心,shāngxīn,Sad
1884,3,商品,shāngpǐn,commodity
1885,3,商业,shāngyè,business
1886,3,上来,shàng lái,come up
1887,3,上面,shàng miàn,above; on top of
1888,3,上去,shàng qù,go up
1889,3,上升,shàng shēng,rise; go up
1890,3,上衣,shàng yī,upper outer garment; jacket; coat
1891,3,设备,shèbèi,equipment
1892,3,设计,shèjì,Design
1893,3,设立,shèlì,Establish
1894,3,社会,shèhuì,Socioty
1895,3,身份证,shēn fèn zhèng,ID card
1896,3,深,shēn,deep
1897,3,深刻,shēnkè,profound
1898,3,深入,shēn rù,go deep into; thorough
1899,3,升,shēng,rise
1900,3,生（形）,shēng,unripe; green; living; raw; unfamiliar
1901,3,生产,shēngchǎn,production
1902,3,生存,shēngcún,Existence
1903,3,生动,shēngdòng,vivid
1904,3,生命,shēngmìng,life
1905,3,生意,shēngyi,business
1906,3,生长,shēngzhǎng,grow
1907,3,声明,shēngmíng,statement
1908,3,胜,shèng,win; defeat; beat; can bear; be superior
1909,3,胜利,shènglì,victory
1910,3,失去,shīqù,Lose
1911,3,石头,shítou,stone
1912,3,石油,shíyóu,petroleum
1913,3,时,shí,time; times; hour; season; tense
1914,3,时代,shídài,times
1915,3,时刻,shíkè,time
1916,3,实际上,shí jì shàng,actually
1917,3,实力,shílì,Strength
1918,3,实行,shíxíng,Implement
1919,3,实验,shíyàn,Experiment
1920,3,实验室,shí yàn shì,laboratory
1921,3,食品,shí pǐn,food; foodstuff
1922,3,使,shǐ,make
1923,3,始终,shǐzhōng,Throughout
1924,3,世纪,shìjì,century
1925,3,世界,shìjiè,world
1926,3,世界杯,shì jiè bēi,World Cup
1927,3,市场,shìchǎng,market
1928,3,事故,shìgù,Accident
1929,3,事件,shìjiàn,Event
1930,3,事实,shìshí,Fact
1931,3,事实上,shì shí shàng,in fact; actually
1932,3,事业,shìyè,career
1933,3,试题,shì tí,test questions
1934,3,试验,shìyàn,test
1935,3,适合,shìhé,Fit
1936,3,适应,shìyìng,Adapt
1937,3,适用,shì yòng,be applicable; be suitable
1938,3,室,shì,room
1939,3,收费,shōu fèi,collect fees; charge
1940,3,收看,shōu kàn,watch
1941,3,收听,shōu tīng,listen to; listen in
1942,3,收音机,shōuyīnjī,radio
1943,3,手续,shǒuxù,procedures
1944,3,手指,shǒuzhǐ,finger
1945,3,首都,shǒudū,capital
1946,3,首先,shǒuxiān,First
1947,3,受,shòu,be subjecte; suffer; receive; accept; stand
1948,3,受伤,shòushāng,Injured
1949,3,书架,shūjià,bookshelf
1950,3,输,shū,lose
1951,3,输入,shūrù,import; input
1952,3,熟人,shú rén,acquaintance
1953,3,属,shǔ,be born in the year of (one of the twelve animals); belong
1954,3,属于,shǔyú,belong to
1955,3,束,shù,beam
1956,3,数量,shùliàng,quantity
1957,3,双,shuāng,double
1958,3,双方,shuāngfāng,both sides
1959,3,思想,sīxiǎng,thought
1960,3,死,sǐ,die
1961,3,速度,sùdù,speed
1962,3,随,suí,follow; comply with; adapt
1963,3,所（名、量）,suǒ,place; office; spot; (measure word)
1964,3,所长,suǒ zhǎng,superintendent
1965,3,台,tái,platform
1966,3,谈,tán,talk
1967,3,谈话,tán huà,conversation; talk; chat
1968,3,谈判,tánpàn,negotiation
1969,3,汤,tāng,soup
1970,3,糖,táng,sugar
1971,3,特色,tèsè,characteristic
1972,3,提前,tíqián,Advance
1973,3,提问,tíwèn,Put questions to
1974,3,题目,tímù,subject
1975,3,体会,tǐhuì,Experience
1976,3,体现,tǐxiàn,Reflect
1977,3,体验,tǐyàn,experience; taste
1978,3,天空,tiānkōng,sky
1979,3,甜,tián,sweet
1980,3,调,tiáo,suit well; mix; adjust; fit in perfectly
1981,3,调整,tiáozhěng,adjustment
1982,3,跳,tiào,jump; leap; skip; bounce
1983,3,跳高,tiào gāo,high jump
1984,3,跳舞,tiàowǔ,dance
1985,3,跳远,tiào yuǎn,long jump; broad jump
1986,3,铁,tiě,iron
1987,3,铁路,tiě lù,railway; railroad
1988,3,听力,tīng lì,hearing; aural comprehension
1989,3,听众,tīng zhòng,audience; listeners
1990,3,停止,tíng zhǐ,stop; cease; suspend; call off; halt
1991,3,通常,tōngcháng,usually
1992,3,通信,tōng xìn,communicate; correspond
1993,3,同意,tóngyì,Agree
1994,3,痛（形）,tòng,sore; painful; sad
1995,3,痛苦,tòngkǔ,Pain
1996,3,头（形）,tóu,lead; head
1997,3,头脑,tóu nǎo,mind; brain
1998,3,突出,tūchū,prominent
1999,3,突然,tūrán,suddenly
2000,3,图,tú,picture; chart; drawing; scheme; intention
2001,3,图画,tú huà,drawing; picture; painting
2002,3,土（名）,tǔ,soil; earth; land; ground
2003,3,团,tuán,group
2004,3,团结,tuánjié,Unite
2005,3,团体,tuántǐ,group
2006,3,推动,tuī dòng,promote; push forward; give impetus to
2007,3,推广,tuīguǎng,Extension
2008,3,推进,tuī jìn,advance; carry forward; push on; give impetus to
2009,3,推开,tuī kāi,push away
2010,3,退,tuì,retreat
2011,3,退出,tuì chū,drop out; quit; withdraw
2012,3,退休,tuìxiū,retire
2013,3,外交,wàijiāo,diplomacy
2014,3,外面,wài miàn,outside; outdoors; outward appearance
2015,3,外文,wài wén,foreign language
2016,3,完美,wánměi,perfect
2017,3,完善,wánshàn,"perfect, consummate"
2018,3,完整,wánzhěng,complete
2019,3,玩具,wánjù,Toys
2020,3,往往,wǎngwǎng,Often
2021,3,危害,wēihài,Harm
2022,3,危险,wēixiǎn,danger
2023,3,为（动）,wéi,act as; become; be; mean
2024,3,为（介）,wèi,(preposition)
2025,3,围,wéi,enclose; surround; circle
2026,3,伟大,wěidà,great
2027,3,卫生,wèi shēng,hygiene; health; sanitation
2028,3,卫生间,wèishēngjiān,toilet
2029,3,为了,wèile,in order to
2030,3,温暖,wēnnuǎn,warm
2031,3,文化,wénhuà,Culture
2032,3,文件,wénjiàn,file
2033,3,文明,wénmíng,civilization
2034,3,文学,wénxué,literature
2035,3,文章,wénzhāng,Article
2036,3,文字,wénzì,"writing, character"
2037,3,握手,wòshǒu,Handshake
2038,3,屋子,wūzi,House
2039,3,武器,wǔqì,arms
2040,3,武术,wǔshù,A martial art
2041,3,舞台,wǔ tái,stage; arena
2042,3,西部,xī bù,west
2043,3,希望,xīwàng,hope
2044,3,系,xì,department
2045,3,下来,xià lái,come down; get down
2046,3,下面,xià miàn,below; under; next
2047,3,下去,xià qù,go down; descend; go on; continue
2048,3,先进,xiānjìn,advanced
2049,3,显得,xiǎnde,Appear
2050,3,显然,xiǎnrán,Obviously
2051,3,显示,xiǎnshì,display
2052,3,现场,xiànchǎng,scene
2053,3,现代,xiàndài,modern
2054,3,现金,xiànjīn,cash
2055,3,现实,xiànshí,reality
2056,3,现象,xiànxiàng,phenomenon
2057,3,线,xiàn,thread; string; wire; line; route
2058,3,相比,xiāng bǐ,compare; compare to
2059,3,相当,xiāngdāng,Quite
2060,3,相关,xiāngguān,correlate
2061,3,相互,xiāng hù,mutual; reciprocal; each other
2062,3,相似,xiāngsì,Be similar
2063,3,香,xiāng,fragrant
2064,3,香蕉,xiāngjiāo,Banana
2065,3,消费,xiāofèi,consumption
2066,3,消失,xiāoshī,disappear
2067,3,消息,xiāoxi,message
2068,3,效果,xiàoguǒ,Effect
2069,3,写作,xiězuò,writing
2070,3,血,xuè,blood
2071,3,心,xīn,heart; feeling; centre; core
2072,3,信（动）,xìn,believe; trust
2073,3,信封,xìnfēng,envelope
2074,3,信任,xìnrèn,trust
2075,3,行李,xíng lǐ,luggage; baggage
2076,3,形成,xíngchéng,formation
2077,3,形式,xíngshì,form
2078,3,形象,xíngxiàng,image
2079,3,形状,xíngzhuàng,shape
2080,3,幸福,xìngfú,happiness
2081,3,幸运,xìngyùn,Lucky
2082,3,性（积极性）,xìng （jī jí xìng）,as a suffix (positivity)
2083,3,性别,xìngbié,Gender
2084,3,性格,xìnggé,character
2085,3,修,xiū,repair; build; embellish; study
2086,3,修改,xiūgǎi,modify
2087,3,需求,xūqiú,demand
2088,3,需要,xūyào,Need
2089,3,宣布,xuānbù,Announce
2090,3,宣传,xuānchuán,Propaganda
2091,3,选手,xuǎnshǒu,Player
2092,3,学费,xué fèi,tuition fee; tuition; school fee
2093,3,训练,xùnliàn,train
2094,3,压,yā,press; push; keep under control; bear down
2095,3,压力,yālì,pressure
2096,3,烟,yān,smoke; tobacco; be irritated by smoke
2097,3,眼前,yǎn qián,now; at the moment; before one’s eyes
2098,3,演,yǎn,play; act; perform
2099,3,演唱,yǎn chàng,sing
2100,3,演唱会,yǎn chàng huì,concert
2101,3,演出,yǎnchū,show
2102,3,演员,yǎnyuán,"performer, actor"
2103,3,羊,yáng,sheep
2104,3,阳光,yángguāng,Sunshine
2105,3,要是,yàoshi,If
2106,3,衣架,yī jià,hanger; clothes stand; clothes tree
2107,3,一切,yíqiè,everything
2108,3,已,yǐ,already; afterwards
2109,3,以来,yǐlái,Since
2110,3,一方面,yì fāng miàn,on the one hand
2111,3,艺术,yìshù,Art
2112,3,意外,yìwài,Accident
2113,3,意义,yìyì,Significance
2114,3,因此,yīncǐ,therefore
2115,3,银,yín,silver
2116,3,银牌,yín pái,silver medal
2117,3,印象,yìnxiàng,impression
2118,3,应当,yīng dāng,should; ought to
2119,3,迎接,yíngjiē,"meet, pick, welcome"
2120,3,营养,yíngyǎng,Nutrition
2121,3,赢,yíng,win
2122,3,影视,yǐng shì,film and television
2123,3,应用,yìngyòng,application
2124,3,优点,yōudiǎn,Advantage
2125,3,优势,yōushì,advantage
2126,3,由,yóu,from
2127,3,由于,yóuyú,Because
2128,3,邮件,yóu jiàn,mail; post; postal matter
2129,3,邮票,yóu piào,postage stamp; stamp
2130,3,邮箱,yóu xiāng,postbox; mailbox
2131,3,游,yóu,swim; wander; travel; tour
2132,3,游戏,yóuxì,Game
